State,City,Camp Name (JSON),Event Details (CSV),Matched
arizona,Oro Valley,Nike Soccer Camp with Pima County Surf,Nike Soccer Camp with Pima County Surf,True
arizona,Prescott,Nike Soccer Camp at Embry-Riddle Aeronautical University - Academy,Nike Soccer Camp at Embry-Riddle Aeronautical University - Academy,True
arizona,Scottsdale,Nike Soccer Camp Rancho Solano Preparatory School,Nike Soccer Camp Rancho Solano Preparatory School,True
arkansas,Fayetteville,Nike Soccer Camp in Fayetteville,Nike Soccer Camp in Fayetteville,True
california,Alameda,Nike Soccer Camp at Sofive - Alameda,Nike Soccer Camp at Sofive - Alameda,True
california,Aptos,Nike Soccer Camp at Cabrillo College,Nike Soccer Camp at Cabrillo College,True
california,Arcadia,Nike Soccer Camp in Arcadia - Los Angeles,Nike Soccer Camp in Arcadia - Los Angeles,True
california,Atherton,Nike Boys Soccer Camp at Menlo College,Nike Boys Soccer Camp at Menlo College,True
california,Azusa,Nike Soccer Camp at Azusa Pacific University,Nike Soccer Camp at Azusa Pacific University,True
california,Berkeley,Cal Boys Soccer Camp,Cal Boys Soccer Camp,True
california,Camarillo,Nike Soccer Camp at Cal State Channel Island,Nike Soccer Camp at Cal State Channel Island,True
california,Chatsworth,Nike Soccer Camp at Sierra Canyon School,Nike Soccer Camp at Sierra Canyon School,True
california,Chino,Nike Soccer Camp in Chino,Nike Soccer Camp in Chino,True
california,Claremont,Nike Soccer Camp at Claremont-Mudd-Scripps Colleges,Nike Soccer Camp at Claremont-Mudd-Scripps Colleges,True
california,Clovis,College Soccer Academy iD Camp in Clovis - Girls,College Soccer Academy iD Camp in Clovis - Girls,True
california,Costa Mesa,Nike Soccer Camp at Vanguard University,Nike Soccer Camp at Vanguard University,True
california,Covina,Nike Soccer Camp at Sofive Covina,Nike Soccer Camp at Sofive Covina,True
california,Del Mar,Nike Soccer Camp with San Diego Surf - Del Mar,Nike Soccer Camp with San Diego Surf - Del Mar,True
california,Elk Grove,Nike Soccer Camp in Elk Grove,Nike Soccer Camp in Elk Grove,True
california,Encinitas,Nike Soccer Camp in Encinitas,Nike Soccer Camp in Encinitas,True
california,Fairfield,Nike Soccer Camp with Solano Surf in Fairfield,Nike Soccer Camp with Solano Surf in Fairfield,True
california,Garden Grove,College Soccer Academy iD Camp in Orange County - Girls,College Soccer Academy iD Camp in Orange County - Girls,True
california,Glendale,Nike Soccer Camp at Glendale Sports Complex,Nike Soccer Camp at Glendale Sports Complex,True
california,Hollywood,Nike Soccer Camp with First Strike Soccer - North Hollywood,Nike Soccer Camp with First Strike Soccer - North Hollywood,True
california,Huntington Beach,Nike Soccer Camp in Huntington Beach,Nike Soccer Camp in Huntington Beach,True
california,Irvine,Nike Soccer Camp at  Irvine Valley College,Nike Soccer Camp at  Irvine Valley College,True
california,La Mirada,Nike Soccer Camp at Biola University,Nike Soccer Camp at Biola University,True
california,La Verne,Nike Soccer Camp at University of La Verne,Nike Soccer Camp at University of La Verne,True
california,Laguna Niguel,Nike Soccer Camp with Prospect Soccer Academy - Laguna Niguel,Nike Soccer Camp with Prospect Soccer Academy - Laguna Niguel,True
california,Lake Forest,Nike Soccer Camp with Prospect Soccer Academy - Lake Forest,Nike Soccer Camp with Prospect Soccer Academy - Lake Forest,True
california,Lancaster,Nike Soccer Camp in Lancaster,Nike Soccer Camp in Lancaster,True
california,Larkspur,Nike Soccer Camps in Larkspur,Nike Soccer Camps in Larkspur,True
california,Livermore,Nike Soccer Camp in Livermore,Nike Soccer Camp in Livermore,True
california,Los Angeles,Nike Soccer Camp at Windward School,Nike Soccer Camp at Windward School,True
california,Newbury Park,Nike Soccer Camp powered by Steel Sports - Conejo Valley,Nike Soccer Camp powered by Steel Sports - Conejo Valley,True
california,Orinda,Nike Soccer Camp with Golden Boot Academy - Orinda,Nike Soccer Camp with Golden Boot Academy - Orinda,True
