Details,State,Found In CSV
Nike Soccer Camp with Pima County Surf,arizona,Yes
Nike Soccer Camp at Embry-Riddle Aeronautical University - Academy,arizona,Yes
Nike Soccer Camp Rancho Solano Preparatory School,arizona,Yes
Nike Soccer Camp in Fayetteville,arkansas,Yes
Nike Soccer Camp at Sofive - Alameda,california,Yes
Nike Soccer Camp at Cabrillo College,california,Yes
Nike Soccer Camp in Arcadia - Los Angeles,california,Yes
Nike Boys Soccer Camp at Menlo College,california,Yes
Nike Soccer Camp at Azusa Pacific University,california,Yes
Nike Soccer Camp powered by Steel Sports - Bakersfield,california,No
Cal Boys Soccer Camp,california,Yes
Nike Soccer Camp at Cal State Channel Island,california,Yes
Nike Soccer Camp at Sierra Canyon School,california,Yes
Nike Soccer Camp in Chino,california,Yes
Nike Soccer Camp at Claremont-Mudd-Scripps Colleges,california,Yes
College Soccer Academy iD Camp in Clovis - Girls,california,Yes
Nike Soccer Camp at Vanguard University,california,Yes
Nike Soccer Camp at Sofive Covina,california,Yes
Nike Soccer Camp with San Diego Surf - Del Mar,california,Yes
Nike Soccer Camp in Elk Grove,california,Yes
Nike Soccer Camp in Encinitas,california,Yes
Nike Soccer Camp with Solano Surf in Fairfield,california,Yes
College Soccer Academy iD Camp in Orange County - Girls,california,Yes
Nike Soccer Camp at Glendale Sports Complex,california,Yes
Nike Soccer Camp with First Strike Soccer - North Hollywood,california,Yes
Nike Soccer Camp in Huntington Beach,california,Yes
Nike Soccer Camp at  Irvine Valley College,california,Yes
Nike Soccer Camp at Biola University,california,Yes
Nike Soccer Camp at University of La Verne,california,Yes
Nike Soccer Camp with Prospect Soccer Academy - Laguna Niguel,california,Yes
Nike Soccer Camp with Prospect Soccer Academy - Lake Forest,california,Yes
Nike Soccer Camp in Lancaster,california,Yes
Nike Soccer Camps in Larkspur,california,Yes
Nike Soccer Camp in Livermore,california,Yes
Nike Soccer Camp at Windward School,california,Yes
Nike Soccer Camp powered by Steel Sports - Conejo Valley,california,Yes
Nike Soccer Camp with Golden Boot Academy - Orinda,california,Yes
Nike Soccer Camp with Player ONE Performance - Palo Alto,california,Yes
Nike Soccer Camp at Stevenson School Pebble Beach,california,Yes
Nike Soccer Camp in Petaluma,california,Yes
Nike Soccer Camp at Sofive Pomona,california,Yes
Nike Soccer Camp at Sofive Rancho Cucamonga,california,Yes
Nike Soccer Camp at Simpson University,california,Yes
Nike Soccer Camp UC Riverside,california,Yes
Nike Soccer Camp at Jessup University,california,Yes
Nike Soccer Camp with Prospect Soccer Academy - San Clemente,california,No
Nike Soccer Camp at San Diego State University,california,Yes
Nike Soccer Camp St. Ignatius College Preparatory,california,Yes
Nike Soccer Camp with Player One Performance - San Jose,california,Yes
Nike Soccer Camp at Cal State University - San Marcos,california,No
Nike Soccer Camp with Beyond the Baller - Santa Barbara,california,No
Nike Soccer Camp with Player ONE Performance - UC Santa Cruz,california,No
Nike Soccer Camp with Player ONE Performance - Saratoga H.S.,california,No
Nike Soccer Camp at Sofive South Gate,california,No
Nike Soccer Camp at Cal Maritime - Vallejo,california,No
"Nike Soccer Camps at the University of Colorado, Colorado Springs",colorado,No
Nike Soccer Camp at Regis University,colorado,No
Nike Girls Soccer Camp at Fairfield University,connecticut,No
Nike Soccer Camp With Rhode Island Surf in Montville,connecticut,No
Nike Soccer Camp with Blue Devils Soccer Academy,connecticut,Yes
Nike Soccer Camp at Liverpool FC International Academy - Ridgefield Academy,connecticut,Yes
Nike Soccer Camp at The Hotchkiss School,connecticut,Yes
Nike Soccer Camp with Ole Soccer - Trumbull,connecticut,No
Nike Soccer Camp at the University of Hartford,connecticut,Yes
Nike Soccer Camp at University of New Haven,connecticut,Yes
Nike Soccer Camp  with FourSoccer - Washington DC,district-of-columbia,Yes
Nike Soccer Camp in Orlando,florida,Yes
Nike Soccer Camp in Port St. Lucie,florida,Yes
Nike Soccer Camp with Beestera Soccer Training - The Bolles School,florida,Yes
Nike Girls Soccer Camp Southeastern University,florida,No
Nike Soccer Camp at Eastern Florida State College,florida,Yes
Nike Soccer Camp in Miami,florida,Yes
