No,Event Details,Latitude,Longitude,City,State,Period,Age,Gender,Skills,Type,Payment
1,Nike Soccer Camp with Pima County Surf,32.4000525,-110.955317,Oro Valley,ARIZONA,"JUN. 17 - JUN. 19, 2025",Ages: 5 - 16,Co-Ed,All Skills,Day (6:30pm-8:30pm),$179 Tuition + $10 Registration Fee
2,Nike Soccer Camp at Embry-Riddle Aeronautical University - Academy,34.539984,-112.468812,Prescott,ARIZONA,"JUN. 8 - JUN. 13, 2025",Ages: 8 - 17,Co-Ed,"Goalkeeper, Basic Skills, Advanced Field Player",Extended Day 8:30am-8pm,$739 Tuition + $40 Registration Fee
,,,,,,,,,"Goalkeeper, Basic Skills, Advanced Field Player",Overnight,$909 Tuition + $40 Registration Fee
,,,,,,"JUL. 13 - JUL. 18, 2025",Ages: 8 - 17,Co-Ed,"Goalkeeper, Basic Skills, Advanced Field Player",Extended Day 8:30am-8pm,$739 Tuition + $40 Registration Fee
,,,,,,,,,"Goalkeeper, Basic Skills, Advanced Field Player",Overnight,$909 Tuition + $40 Registration Fee
3,Nike Soccer Camp Rancho Solano Preparatory School,33.4942189,-111.926018,Scottsdale,ARIZONA,"JUN. 9 - JUN. 13, 2025",Ages: 8 - 14,Co-Ed,All Skills,Day 9:00am-2:00pm,$399 Tuition + $30 Registration Fee
4,Nike Soccer Camp in Fayetteville,36.0625843,-94.1574328,Fayetteville,ARKANSAS,"JUN. 16 - JUN. 20, 2025",Ages: 7 - 15,Co-Ed,All Skills,Day (9:00am-3:00pm),$399 Tuition + $30 Registration Fee
,,,,,,"JUL. 15 - JUL. 18, 2025",Ages: 7 - 15,Co-Ed,All Skills,Day (9:00am-3:00pm),$339 Tuition + $30 Registration Fee
5,Nike Soccer Camp at Sofive - Alameda,37.6090291,-121.899142,Alameda,CALIFORNIA,"JUN. 9 - JUN. 13, 2025",Ages: 6 - 13,Co-Ed,All Skills,Half Day 9:00am-12:00pm,$319 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day 9:00am-3:00pm,$449 Tuition + $30 Registration Fee
,,,,,,"JUL. 7 - JUL. 11, 2025",Ages: 6 - 13,Co-Ed,All Skills,Half Day 9:00am-12:00pm,$319 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day 9:00am-3:00pm,$449 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 13,Co-Ed,All Skills,Half Day 9:00am-12:00pm,$319 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day 9:00am-3:00pm,$449 Tuition + $30 Registration Fee
,,,,,,"AUG. 4 - AUG. 8, 2025",Ages: 6 - 13,Co-Ed,All Skills,Half Day 9:00am-12:00pm,$319 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day 9:00am-3:00pm,$449 Tuition + $30 Registration Fee
6,Nike Soccer Camp at Cabrillo College,36.9941295,-121.8903368,Aptos,CALIFORNIA,"JUN. 9 - JUN. 13, 2025",Ages: 5 - 14,Co-Ed,All Skills,Day 9:00am-3:00pm,$399 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$289 Tuition + $30 Registration Fee
,,,,,,"JUN. 23 - JUN. 27, 2025",Ages: 5 - 14,Co-Ed,All Skills,Day 9:00am-3:00pm,$399 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$289 Tuition + $30 Registration Fee
7,Nike Soccer Camp in Arcadia - Los Angeles,34.1362075,-118.0401497,Arcadia,CALIFORNIA,"JUN. 23 - JUN. 27, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day Camp 9am-3pm,$389 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12pm,$269 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day Camp 9am-3pm,$389 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12pm,$269 Tuition + $30 Registration Fee
,,,,,,"AUG. 18 - AUG. 21, 2025",Ages: 8 - 16,Co-Ed,All Skills,Half Day Camp 9am-12pm,$299 Tuition + $30 Registration Fee
8,Nike Boys Soccer Camp at Menlo College,37.453773,-122.2058272,Atherton,CALIFORNIA,"JUL. 21 - JUL. 25, 2025",Ages: 6 - 16,Boys,All Skills,Day 9:00am-3:00pm,$549 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$419 Tuition + $30 Registration Fee
